City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,quellon,-43.1167,-73.6167,11.68,69,100,3.88,CL,1698358407
209,conde,-7.2597,-34.9075,24.7,100,75,3.09,BR,1698358407
210,port shepstone,-30.7414,30.455,20.07,93,56,7.68,ZA,1698358296
211,invercargill,-46.4,168.35,4.45,79,95,7.6,NZ,1698358264
212,vorgashor,67.5833,63.95,-10.06,95,100,3.4,RU,1698358407
213,palmer,42.1584,-72.3287,21.75,64,75,0.0,US,1698358407
214,siguiri,11.6667,-9.5,26.81,32,38,1.7,GN,1698358408
215,tanabe,33.7333,135.3667,15.82,70,0,1.91,JP,1698358408
216,santa isabel,-23.3156,-46.2214,19.84,98,100,1.72,BR,1698358408
217,khovd,48.0056,91.6419,5.93,30,99,3.86,MN,1698358408
218,eyl,7.9803,49.8164,26.7,81,38,4.16,SO,1698358408
219,lensk,60.7253,114.9278,0.9,99,100,1.72,RU,1698358408
220,prien,30.1819,-93.2738,29.01,66,75,7.72,US,1698358409
221,saint-leu,-21.15,55.2833,23.48,87,0,1.33,RE,1698358409
222,longyearbyen,78.2186,15.6401,-3.09,80,75,2.57,SJ,1698358409
223,greymouth,-42.4667,171.2,8.47,69,98,9.27,NZ,1698358409
224,morada nova,-5.1067,-38.3725,26.43,64,66,5.73,BR,1698358409
225,souillac,-20.5167,57.5167,23.21,88,20,1.54,MU,1698358410
226,san rafael,-34.6177,-68.3301,27.25,12,8,5.76,AR,1698358248
227,sandnessjoen,66.0217,12.6316,-1.71,72,75,3.44,NO,1698358410
228,calbuco,-41.768,-73.1273,12.68,74,100,3.17,CL,1698358410
229,seversk,56.6006,84.8864,-0.47,91,94,7.15,RU,1698358411
230,yellowknife,62.456,-114.3525,-0.88,80,63,4.92,CA,1698358120
231,willebadessen,51.6256,9.0369,8.21,96,75,1.58,DE,1698358411
232,vila franca do campo,37.7167,-25.4333,16.6,99,100,3.19,PT,1698358193
233,smithers,54.7804,-127.1743,3.3,37,0,1.05,CA,1698358232
234,ilulissat,69.2167,-51.1,1.01,51,47,6.69,GL,1698358411
235,fangshan,39.6983,115.9925,13.22,37,0,1.15,CN,1698358412
236,fernie,49.5,-115.0687,-3.89,62,100,1.43,CA,1698358412
237,aasiaat,68.7098,-52.8699,-6.73,86,88,3.59,GL,1698358412
238,westport,41.1415,-73.3579,22.93,65,0,1.54,US,1698358281
239,piti village,13.4626,144.6933,29.49,88,0,2.57,GU,1698358412
240,aykhal,66.0,111.5,-16.0,100,82,0.56,RU,1698358413
241,college,64.8569,-147.8028,2.11,78,75,0.0,US,1698358194
242,la sarre,48.8002,-79.1996,3.67,94,100,4.03,CA,1698358413
243,tsiombe,-25.3,45.4833,18.96,70,100,1.89,MG,1698358413
244,nemuro,43.3236,145.575,11.63,79,70,2.28,JP,1698358198
245,bambanglipuro,-7.95,110.2833,24.63,89,41,1.99,ID,1698358413
246,vila velha,-20.3297,-40.2925,25.97,89,75,4.12,BR,1698358414
247,nova vicosa,-17.8919,-39.3719,25.11,88,88,4.38,BR,1698358256
248,dolbeau-mistassini,48.8763,-72.212,8.53,83,100,1.58,CA,1698358200
249,san juan de los morros,9.9115,-67.3538,24.17,89,100,0.4,VE,1698358414
250,xinzhou,38.4092,112.7333,9.45,32,0,1.01,CN,1698358242
251,awjilah,29.1081,21.2869,23.19,50,0,3.96,LY,1698358415
252,alice springs,-23.7,133.8833,10.75,28,0,0.0,AU,1698358415
253,rabaul,-4.1967,152.1721,26.44,79,100,3.1,PG,1698358415
254,bayside,40.8424,-124.0637,18.13,58,0,6.69,US,1698358415
255,revda,56.801,59.9303,-8.3,94,18,3.68,RU,1698358415
256,leticia,-4.2153,-69.9406,26.99,94,40,1.54,CO,1698358416
257,severo-yeniseyskiy,60.3725,93.0408,0.88,97,100,2.68,RU,1698358282
258,seeb,23.6703,58.1891,25.05,73,40,2.57,OM,1698358416
259,colonia,50.9333,6.95,11.09,91,75,3.6,DE,1698358188
260,codrington,-38.2667,141.9667,10.76,67,15,3.57,AU,1698358416
261,ipueiras,-7.0333,-40.45,29.16,21,12,3.85,BR,1698358389
262,argo,37.6333,22.7333,19.5,73,14,1.31,GR,1698358190
263,sur,22.5667,59.5289,27.06,65,19,1.36,OM,1698358417
264,vernal,40.4555,-109.5287,10.84,24,20,9.77,US,1698358259
265,palikir - national government center,6.9248,158.1611,31.41,70,100,2.06,FM,1698358417
266,lubango,-14.9172,13.4925,18.81,72,100,2.07,AO,1698358417
267,island harbour,50.724,-1.2758,11.66,94,72,3.83,GB,1698358417
268,qamdo,31.1667,97.2333,-4.1,75,75,1.68,CN,1698358417
269,ohara,35.25,140.3833,18.33,68,74,2.75,JP,1698358418
270,san antonio de pale,-1.4014,5.6325,25.87,85,90,3.79,GQ,1698358418
271,bima,-8.4667,118.7167,24.05,87,6,1.26,ID,1698358418
272,kolondieba,11.0882,-6.8926,27.53,43,50,1.75,ML,1698358418
273,lindi,-10.0,39.7167,24.5,94,5,0.98,TZ,1698358418
274,guerrero negro,27.9769,-114.0611,21.14,61,2,7.33,MX,1698358294
275,monahans,31.5943,-102.8926,29.39,29,0,4.19,US,1698358418
276,portland,45.5234,-122.6762,12.64,80,100,3.09,US,1698357785
277,amahai,-3.3333,128.9167,25.11,79,73,1.85,ID,1698358419
278,san luis de la loma,17.2706,-100.8939,28.14,78,86,2.35,MX,1698358179
279,shimoda,34.6667,138.95,18.95,69,40,3.02,JP,1698358419
280,uray,60.1247,64.7758,-6.18,65,58,4.47,RU,1698358419
281,flying fish cove,-10.4217,105.6791,24.82,83,75,4.63,CX,1698358419
282,cromwell,41.5951,-72.6454,23.08,61,0,2.57,US,1698358419
283,faya-largeau,17.9257,19.1043,26.62,19,1,6.05,TD,1698358420
284,mahina,-17.5065,-149.489,27.87,69,75,3.09,PF,1698358420
285,bachatskiy,54.2927,86.1285,-0.09,80,86,8.58,RU,1698358420
286,laojunmiao,39.8333,97.7333,6.87,21,0,2.34,CN,1698358420
287,el calafate,-50.3408,-72.2768,6.35,52,91,1.47,AR,1698358420
288,villa regina,-39.1,-67.0667,26.66,15,72,2.24,AR,1698358421
289,idri,27.5,13.2667,25.53,26,0,4.06,LY,1698358421
290,rikaze,29.25,88.8833,0.24,53,0,1.21,CN,1698358421
291,arar,30.9753,41.0381,21.01,43,0,2.57,SA,1698358421
292,grand-lahou,5.1367,-5.0242,25.59,91,47,3.97,CI,1698358421
293,selibaby,15.159,-12.1829,33.6,11,59,3.38,MR,1698358421
294,decize,46.8285,3.4619,11.67,92,100,5.51,FR,1698358422
295,port lincoln,-34.7333,135.8667,14.31,66,74,6.93,AU,1698358422
296,hawaiian paradise park,19.5933,-154.9731,26.73,88,100,5.66,US,1698358166
297,derebucak,37.3918,31.5092,13.15,64,100,1.89,TR,1698358422
298,kirensk,57.7853,108.1119,1.65,96,93,4.92,RU,1698358422
299,aksu,41.1231,80.2644,11.45,34,35,1.08,CN,1698358422
300,santiago de cao,-7.9589,-79.2392,20.07,77,40,4.63,PE,1698358422
301,kampong thom,12.7111,104.8887,24.1,93,74,2.0,KH,1698358423
302,harstad,68.799,16.5293,2.56,96,87,1.34,NO,1698358423
303,nogliki,51.8333,143.1667,2.97,82,67,3.13,RU,1698358423
304,mszczonow,51.9742,20.5208,12.25,92,83,4.28,PL,1698358423
305,kropp,54.4167,9.5167,9.06,94,99,5.14,DE,1698358423
306,uglegorsk,49.0833,142.0333,7.0,80,92,2.35,RU,1698358423
307,machico,32.7,-16.7667,22.62,80,20,2.57,PT,1698358424
308,ambovombe,-25.1667,46.0833,19.47,69,100,2.55,MG,1698358424
309,paredon,16.0333,-93.8667,29.59,73,94,1.52,MX,1698358424
310,al jawf,29.5,38.75,23.79,31,0,6.07,SA,1698358424
311,santa maria,-29.6842,-53.8069,17.24,80,5,2.13,BR,1698358424
312,howard springs,-12.497,131.047,28.82,79,57,1.38,AU,1698358424
313,hauterive,46.0901,3.4459,13.42,88,100,5.51,FR,1698358424
314,malmberget,67.1753,20.6549,-4.69,93,100,0.0,SE,1698358425
315,canon city,38.441,-105.2424,25.09,16,0,2.68,US,1698358425
316,kone,-21.0595,164.8658,23.82,84,100,2.47,NC,1698358425
317,salacgriva,57.7536,24.3581,0.48,83,91,5.74,LV,1698358425
318,retreat,38.8245,-85.8533,24.72,50,93,0.89,US,1698358425
319,arkhangel'sk,64.5401,40.5433,-1.04,83,99,2.31,RU,1698358201
320,bairnsdale,-37.8333,147.6167,13.36,68,6,0.45,AU,1698358426
321,shiggaon,15.0,75.2333,19.41,53,0,2.64,IN,1698358426
322,kununurra,-15.7667,128.7333,28.99,16,64,4.63,AU,1698358426
323,ponte vedra beach,30.2397,-81.3856,26.16,68,100,4.63,US,1698358426
324,jiangyou,31.7667,104.7167,15.74,80,100,0.92,CN,1698358426
325,puerto aysen,-45.4,-72.7,7.75,99,100,2.44,CL,1698358426
326,bechem,7.0903,-2.025,22.92,93,25,1.39,GH,1698358426
327,vilyuchinsk,52.9306,158.4028,1.63,72,4,2.62,RU,1698358427
328,salinopolis,-0.6136,-47.3561,27.76,70,35,5.18,BR,1698358427
329,taoudenni,22.6783,-3.9836,32.2,18,4,4.71,ML,1698358427
330,new norfolk,-42.7826,147.0587,11.07,62,23,1.17,AU,1698358427
331,wynyard,-41.0,145.7167,9.83,54,2,1.8,AU,1698358427
332,keflavik,64.0049,-22.5624,7.24,87,0,0.51,IS,1698358427
333,gualeguay,-33.1416,-59.3097,18.35,62,1,3.53,AR,1698358427
334,puerto real,36.5282,-6.1901,20.9,89,97,6.28,ES,1698358428
335,alofi,-19.0595,-169.9187,24.94,65,75,8.23,NU,1698358220
336,waingapu,-9.6567,120.2641,26.27,70,4,0.37,ID,1698358428
337,beroroha,-21.6667,45.1667,25.05,43,0,3.34,MG,1698358428
338,dano,11.15,-3.0667,29.35,41,97,1.16,BF,1698358428
339,hede,33.7681,120.2517,15.55,61,60,3.22,CN,1698358428
340,millau,44.0833,2.9167,12.79,95,100,5.24,FR,1698358428
341,karratha,-20.7377,116.8463,30.71,21,18,8.7,AU,1698358429
342,bangui,4.3612,18.555,20.69,99,96,0.79,CF,1698358429
343,akjoujt,19.6969,-14.4164,31.29,22,99,5.38,MR,1698358429
344,rawson,-43.3002,-65.1023,15.91,43,52,3.5,AR,1698358429
345,mukalla,14.5425,49.1242,26.42,69,85,3.15,YE,1698358429
346,north bend,43.4065,-124.2243,14.02,62,40,2.57,US,1698358429
347,pailon,-17.65,-62.75,26.5,44,100,4.06,BO,1698358429
348,qalat,32.1058,66.9083,14.69,32,0,1.83,AF,1698358430
349,hakha,22.65,93.6167,11.43,97,3,0.68,MM,1698358430
350,tralee,52.2704,-9.7026,8.43,95,74,2.31,IE,1698358430
351,simanggang,1.2472,111.4528,22.8,99,100,0.0,MY,1698358430
352,chernyshevsk,52.5243,117.0174,-4.13,68,10,0.39,RU,1698358430
353,geraldton,-28.7667,114.6,14.23,88,99,6.17,AU,1698358430
354,linqiong,30.4159,103.4609,16.01,77,100,1.24,CN,1698358430
355,sa'dah,16.9402,43.7639,16.15,81,100,2.73,YE,1698358431
356,sitangkai,4.6628,119.3928,28.21,73,76,1.81,PH,1698358431
